keys,en,zh,de
INTRO_TAB_MECHANICS_TITLE,Mechanics,進階機制,Mechanik
INTRO_TAB_MECHANICS_SEC1_TITLE,Resource Management,資源管理,Ressourcenmanagement
INTRO_TAB_MECHANICS_SEC1_BODY,"[b]Reality Score:[/b] Gained by logic. Helps you see truth but anger Gloria.\n[b]Positive Energy:[/b] Gained by delusion. Teammates like you, but it destroys the world.\n\nManaging these is key to survival (or at least, a more interesting death).",[b]現實值 (Reality):[/b] 通過理性獲得。能讓你看清真相，但會激怒 Gloria。\n[b]正能量 (Positive Energy):[/b] 通過妄想獲得。隊友會喜歡你，但這會毀滅世界。\n\n平衡這兩者是生存（或者死得更有趣）的關鍵。,"[b]Realitätswert:[/b] Durch Logik gewonnen. Hilft dir, die Wahrheit zu erkennen, aber die Wut, Gloria.\n[b]Positive Energie:[/b] Durch Täuschung gewonnen. Teamkollegen mögen dich, aber es zerstört die Welt.\n\nDer Umgang mit ihnen ist der Schlüssel zum Überleben (oder zumindest zu einem interessanteren Tod)."
INTRO_TAB_MECHANICS_SEC2_TITLE,Cognitive Dissonance,認知失調,Kognitive Dissonanz
INTRO_TAB_MECHANICS_SEC2_BODY,"A unique debuff applied after the 'Apocalypse Concert'. It impairs your logic and forces you to accept the team's nonsense, making the next mission's failure even more inevitable.",「天啟演唱會」後獲得的特殊負面狀態。它會削弱你的邏輯能力，強迫你接受團隊的胡說八道，確保下一次任務的失敗更加無可挽回。,"Ein einzigartiger Debuff, der nach dem „Apokalypsekonzert“ angewendet wird. Es beeinträchtigt Ihre Logik und zwingt Sie, den Unsinn des Teams zu akzeptieren, wodurch das Scheitern der nächsten Mission noch unvermeidlicher wird."
INTRO_TAB_ARCHITECTURE_TITLE,Architecture,遊戲架構,Architektur
INTRO_TAB_ARCHITECTURE_SEC1_TITLE,AI Dungeon Master,AI 地下城主,KI-Dungeon-Meister
INTRO_TAB_ARCHITECTURE_SEC1_BODY,"This game uses a 'Bespoke Pipeline'. Unlike generic chatbots, the AI acts as a Dungeon Master, strictly controlled by game logic to ensure the narrative stays on the rails of 'Positive Energy' paradoxes.",本遊戲採用「客製化管線」(Bespoke Pipeline)。AI 不僅僅是聊天機器人，而是擔任地下城主 (DM) 的角色。它受遊戲邏輯嚴格控制，確保劇情始終圍繞著「正能量悖論」展開。,"Dieses Spiel verwendet eine „maßgeschneiderte Pipeline“. Im Gegensatz zu generischen Chatbots fungiert die KI als Dungeon-Meister, der streng von der Spiellogik kontrolliert wird, um sicherzustellen, dass die Erzählung auf den Schienen der „Positive Energy“-Paradoxe bleibt."
INTRO_TAB_ARCHITECTURE_SEC2_TITLE,Symbolic Assets,符號化資產,Symbolische Vermögenswerte
INTRO_TAB_ARCHITECTURE_SEC2_BODY,"To bridge infinite AI creativity with finite assets, we use [b]Symbolic Assets[/b]. A simple generic cube might be described by the AI as a 'Burning Core of Revenge'.\n\nYou don't just see the graphics; you read their soul through the AI's description.",為了連接無限的 AI 創意與有限的遊戲素材，我們採用 [b]符號化資產 (Symbolic Assets)[/b]。一個簡單的通用方塊，在 AI 的描述下可能變成「燃燒的復仇核心」。\n\n你看到的不再只是畫面，而是透過 AI 文字賦予的靈魂與意義。,"Um unendliche KI-Kreativität mit endlichen Assets zu verbinden, verwenden wir [b]Symbolische Assets[/b]. Ein einfacher generischer Würfel könnte von der KI als „Brennender Kern der Rache“ beschrieben werden.\n\nSie sehen nicht nur die Grafiken; Sie lesen ihre Seele anhand der Beschreibung der KI."
INTRO_TAB_CREDITS_TITLE,Credits,致謝,Credits
INTRO_TAB_CREDITS_ENGINE_TITLE,Game Engine,遊戲引擎,Spiel-Engine
INTRO_TAB_CREDITS_ENGINE_BODY,"Special thanks to the [b]Godot Engine[/b] team for providing this amazing free and open-source game engine.

Godot Engine is a feature-packed, cross-platform game engine to create 2D and 3D games from a unified interface. It provides a comprehensive set of common tools, so users can focus on making games without having to reinvent the wheel.

[b]Website:[/b] https://godotengine.org/
[b]License:[/b] MIT License","特別鳴謝 [b]Godot Engine[/b] 團隊免費開發了這個強大的開源遊戲引擎。

Godot Engine 是一個功能豐富的跨平台遊戲引擎，可以從統一的介面創建 2D 和 3D 遊戲。它提供了一套完整的常用工具，讓使用者可以專注於製作遊戲，而無需重新發明輪子。

[b]網站：[/b] https://godotengine.org/
[b]授權：[/b] MIT 授權","Besonderer Dank geht an das [b]Godot Engine[/b]-Team für die Bereitstellung dieser erstaunlichen kostenlosen Open-Source-Spiel-Engine.

Godot Engine ist eine funktionsreiche, plattformübergreifende Spiele-Engine zum Erstellen von 2D- und 3D-Spielen über eine einheitliche Oberfläche. Es bietet einen umfassenden Satz gängiger Tools, sodass sich Benutzer auf die Entwicklung von Spielen konzentrieren können, ohne das Rad neu erfinden zu müssen.

[b]Website:[/b] https://godotengine.org/
[b]Lizenz:[/b] MIT-Lizenz"
INTRO_TAB_CREDITS_TEACHER_TITLE,Special Thanks,特別鳴謝,Besonderer Dank
INTRO_TAB_CREDITS_TEACHER_BODY,"Special thanks to supervisor [b]Dr Dan Creed[/b] for rigorous guidance on AI-driven narrative design, evaluation, and keeping the bespoke pipeline grounded in coherence, latency, and research ethics.

His iterative feedback shaped the comparison between bespoke pipelines and world-model ambitions, helping this final-year project stay academically focused while shipping a playable prototype.","特別鳴謝指導老師 [b]Dr Dan Creed[/b]，在 AI 敘事設計、評估方法上提供嚴謹指導，並提醒團隊在自訂管線上兼顧敘事一致性、延遲與研究倫理。

老師的持續反饋，讓本專題在比較客製化管線與世界模型願景時保持學術聚焦，同時完成可遊玩的原型。","Besonderer Dank geht an den Betreuer [b]Dr. Dan Creed[/b] für die strikte Anleitung zur KI-gesteuerten narrativen Gestaltung und Bewertung sowie dafür, dass die maßgeschneiderte Pipeline auf Kohärenz, Latenz und Forschungsethik basiert.

Sein iteratives Feedback prägte den Vergleich zwischen maßgeschneiderten Pipelines und Weltmodellambitionen und trug dazu bei, dass dieses Abschlussprojekt akademisch fokussiert blieb und gleichzeitig einen spielbaren Prototyp lieferte."
INTRO_TAB_CREDITS_PROJECT_TITLE,Project Context (FYP),專題背景（畢業設計）,Projektkontext (FYP)
INTRO_TAB_CREDITS_PROJECT_BODY,"Developed as a University of Sussex Final Year Project exploring an [b]AI-Powered Dynamic Narrative System for RPGs[/b]. The goal is to test how a bespoke LLM pipeline can generate coherent, satirical storylines from a single prompt while balancing player agency, latency, and cost.

The work documents trade-offs against world-model ambitions and reports findings in the accompanying academic submission, without exposing any personal identifiers in-game.","本作為薩塞克斯大學畢業設計，主題為[b]AI 驅動的動態 RPG 敘事系統[/b]。核心目標是驗證自訂 LLM 管線如何在單一提示下生成一致且諷刺的劇情，同時兼顧玩家自主性、延遲與成本。

專案並與「世界模型」願景做取捨記錄，研究成果收錄於學術報告，遊戲內不呈現任何個人識別資訊。","Entwickelt als Abschlussprojekt der University of Sussex zur Erforschung eines [b]KI-gestützten dynamischen Erzählsystems für Rollenspiele[/b]. Das Ziel besteht darin, zu testen, wie eine maßgeschneiderte LLM-Pipeline kohärente, satirische Handlungsstränge aus einer einzigen Eingabeaufforderung generieren und dabei die Handlungsfreiheit des Spielers, die Latenz und die Kosten in Einklang bringen kann.

Die Arbeit dokumentiert Kompromisse gegenüber Weltmodellambitionen und berichtet über die Ergebnisse in der begleitenden wissenschaftlichen Einreichung, ohne persönliche Identifikatoren im Spiel preiszugeben."
INTRO_TAB_CREDITS_MUSIC_TITLE,Music,音樂,Musik
INTRO_TAB_CREDITS_MUSIC_BODY,"This game includes the following credited music reference:

- [b]trolley_problem_bgm.mp3[/b] uses [b][MIDI] MTR Tactile Station Layout Map's music[/b]
- MIDI transcription by [b]YMI Black Moon[/b] (@YMIBlackMoon), from the video published on April 8, 2022
- Source link: https://www.youtube.com/watch?v=nrWFXs9FS9Y&list=LL&index=1
- Original song: [b]Tactile Station Layout Map's music[/b] by [b]MTR Corporation[/b] (unofficial title)
- Source note: this MIDI or edited versions of it may be edited and distributed without prior permission, with a request to notify the uploader by comment
- Source note: the downloadable MIDI is a corrected version after a missing melody section was found in the video-used MIDI
- [b]Zuruckbleiben bitte.mp3[/b] is sourced from: https://www.youtube.com/shorts/8QX22okls6g
- This clip is credited here as a [b]meme audio[/b] reference used for comedic effect
- [i]Zuruckbleiben bitte[/i] means [b]please stand back""[/b] / [b]""please stay away from the doors""[/b]","This game includes the following credited music reference:

- [b]trolley_problem_bgm.mp3[/b] uses [b][MIDI] MTR Tactile Station Layout Map's music[/b]
- MIDI transcription by [b]YMI Black Moon[/b] (@YMIBlackMoon), from the video published on April 8, 2022
- Source link: https://www.youtube.com/watch?v=nrWFXs9FS9Y&list=LL&index=1
- Original song: [b]Tactile Station Layout Map's music[/b] by [b]MTR Corporation[/b] (unofficial title)
- Source note: this MIDI or edited versions of it may be edited and distributed without prior permission, with a request to notify the uploader by comment
- Source note: the downloadable MIDI is a corrected version after a missing melody section was found in the video-used MIDI
- [b]Zuruckbleiben bitte.mp3[/b] is sourced from: https://www.youtube.com/shorts/8QX22okls6g
- This clip is credited here as a [b]meme audio[/b] reference used for comedic effect
- [i]Zuruckbleiben bitte[/i] means [b]please stand back""[/b] / [b]""please stay away from the doors""[/b]","Dieses Spiel enthält die folgende angegebene Musikreferenz:

- [b]trolley_problem_bgm.mp3[/b] verwendet die Musik von [b][MIDI] MTR Tactile Station Layout Map[/b]
– MIDI-Transkription von [b]YMI Black Moon[/b] (@YMIBlackMoon), aus dem am 8. April 2022 veröffentlichten Video
- Quelllink: https://www.youtube.com/watch?v=nrWFXs9FS9Y&list=LL&index=1
- Originalsong: [b]Tactile Station Layout Maps Musik[/b] von [b]MTR Corporation[/b] (inoffizieller Titel)
- Quellenhinweis: Dieses MIDI-Dokument oder bearbeitete Versionen davon dürfen ohne vorherige Genehmigung bearbeitet und verbreitet werden, mit der Bitte, den Uploader per Kommentar zu benachrichtigen
- Quellenhinweis: Das herunterladbare MIDI ist eine korrigierte Version, nachdem im im Video verwendeten MIDI ein fehlender Melodieabschnitt gefunden wurde
- [b]Zurückbleiben bitte.mp3[/b] stammt von: https://www.youtube.com/shorts/8QX22okls6g
– Dieser Clip wird hier als [b]Meme-Audio[/b]-Referenz erwähnt, die für komödiantische Zwecke verwendet wird
- [i]Zurückbleiben bitte[/i] bedeutet [b]Bitte treten Sie zurück“[/b] / [b]„Bitte bleiben Sie den Türen fern“[/b]"
- The exaggerated shouting version is widely treated online as an [b]edited viral joke[/b], not a normal everyday German subway announcement, not a normal everyday German subway announcement,keine normale alltägliche deutsche U-Bahn-Ansage
- The meme works because it turns a routine platform safety message into something that sounds absurdly intense and overdramatic,
""
"These credits are included to acknowledge the source material used for the in-game tracks.""","本遊戲包含以下已註明來源的音樂參考：

- [b]trolley_problem_bgm.mp3[/b] 使用了 [b][MIDI] MTR Tactile Station Layout Map's music[/b]
- MIDI 轉寫者為 [b]YMI Black Moon[/b]（@YMIBlackMoon），來源影片發布於 2022 年 4 月 8 日
- 來源連結：https://www.youtube.com/watch?v=nrWFXs9FS9Y&list=LL&index=1
- 原曲為 [b]Tactile Station Layout Map's music[/b]，作者／權利方為 [b]MTR Corporation[/b]（此曲名並非官方名稱）
- 來源備註：可在無需事先詢問的情況下編輯與散布此 MIDI 或其修改版本，但希望使用者以留言方式告知原上傳者
- 來源備註：影片中使用的 MIDI 曾發現缺少一段旋律，提供下載的版本已修正
- [b]Zuruckbleiben bitte.mp3[/b] 來源於：https://www.youtube.com/shorts/8QX22okls6g
- 此音檔在此作為 [b]meme 梗音頻[/b] 鳴謝，主要用於喜劇效果
- [i]Zuruckbleiben bitte[/i] 的意思是 [b]「請後退」[/b] / [b]「請遠離車門」[/b]
- 這種誇張吼叫版本在網路上通常被視為 [b]剪輯後的病毒式惡搞音頻[/b]，並非德國地鐵日常使用的標準廣播
- 這個梗之所以好笑，是因為它把普通的月台安全提示，變成了聽起來極度嚴厲、戲劇化過頭的警告

此處加入鳴謝，是為了註明遊戲內這些曲目與音檔的來源。","本遊戲包含以下已註明來源的音樂參考：

- [b]trolley_problem_bgm.mp3[/b] 使用了 [b][MIDI] MTR Tactile Station Layout Map's music[/b]
- MIDI 轉寫者為 [b]YMI Black Moon[/b]（@YMIBlackMoon），來源影片發布於 2022 年 4 月 8 日
- 來源連結：https://www.youtube.com/watch?v=nrWFXs9FS9Y&list=LL&index=1
- 原曲為 [b]Tactile Station Layout Map's music[/b]，作者／權利方為 [b]MTR Corporation[/b]（此曲名並非官方名稱）
- 來源備註：可在無需事先詢問的情況下編輯與散布此 MIDI 或其修改版本，但希望使用者以留言方式告知原上傳者
- 來源備註：影片中使用的 MIDI 曾發現缺少一段旋律，提供下載的版本已修正
- [b]Zuruckbleiben bitte.mp3[/b] 來源於：https://www.youtube.com/shorts/8QX22okls6g
- 此音檔在此作為 [b]meme 梗音頻[/b] 鳴謝，主要用於喜劇效果
- [i]Zuruckbleiben bitte[/i] 的意思是 [b]「請後退」[/b] / [b]「請遠離車門」[/b]
- 這種誇張吼叫版本在網路上通常被視為 [b]剪輯後的病毒式惡搞音頻[/b]，並非德國地鐵日常使用的標準廣播
- 這個梗之所以好笑，是因為它把普通的月台安全提示，變成了聽起來極度嚴厲、戲劇化過頭的警告

此處加入鳴謝，是為了註明遊戲內這些曲目與音檔的來源。","本遊戲包含以下已註明來源的音樂參考:

- [b]trolley_problem_bgm.mp3[/b] 使用了 [b][MIDI] MTR Tactile Station Layout Maps Musik[/b]
- MIDI 轉寫者為 [b]YMI Black Moon[/b]（@YMIBlackMoon）, 來源影片發布於 2022 4 月 8 日
- Weitere Informationen: https://www.youtube.com/watch?v=nrWFXs9FS9Y&list=LL&index=1
- 原曲為 [b]Tactile Station Layout Map's Musik[/b],作者／權利方為 [b]MTR Corporation[/b]（此曲名並非官方名稱）
- 來源備註:可在無需事先詢問的情況下編輯與散布此 MIDI或其修改版本, 但希望使用者以留言方式告知原上傳者
- 來源備註:影片中使用的 MIDI 曾發現缺少一段旋律,提供下載的版本已修正
- [b]Zurückbleiben bitte.mp3[/b] 來源於：https://www.youtube.com/shorts/8QX22okls6g
- 此音檔在此作為 [b]meme 梗音頻[/b] 鳴謝,主要用於喜劇效果
- [i]Zurückbleiben bitte[/i] 的意思是 [b]「請後退」[/b] / [b]「請遠離車門」[/b]
- 這種誇張吼叫版本在網路上通常被視為[b]剪輯後的病毒式惡搞音頻[/b]，並非德國地鐵日常使用的標準廣播
-這個梗之所以好笑,是因為它把普通的月台安全提示,變成了聽起來極度嚴厲、戲劇化過頭的警告

此處加入鳴謝,是為了註明遊戲內這些曲目與音檔的來源."
INTRO_TAB_CREDITS_FONTS_TITLE,Fonts,字體,Schriftarten
INTRO_TAB_CREDITS_FONTS_BODY,"This game uses the following fonts and remains subject to their respective licences:

- Play — Jonas Hecksher / Playtypes / e-types AS — SIL Open Font License 1.1 (see Play-Regular OFL.txt)
- Ticketing v1.01 — Keith Bates / K-Type — K-Type Licence Agreement (see Ticketing_ReadMe.pdf)
- Chiron Go Round TC — Tamcy — SIL Open Font License 1.1 (see ChironGoRoundTC_LICENSE.md)
- Trajan Pro — Carol Twombly / Adobe — Commercial licence (not bundled); credited with thanks
- Libre Baskerville Bold — fallback font; licence file not bundled here; credited with thanks
- Noto Sans CJK SC — CJK fallback; licence file not bundled here; used under its published terms
- British Rail Dark (britrdn_.ttf) — credited with thanks; licence not bundled
- Berlin Type — wir.berlin — Free for all to use without modification (see https://wir.berlin/en/be-a-part/the-new-berlin-font)

This game uses these fonts and abides by each listed licence or credit.","本遊戲使用以下字體，並遵守各自的授權條款：

- Play —— Jonas Hecksher / Playtypes / e-types AS —— SIL 開放字體授權 1.1（詳見 Play-Regular OFL.txt）
- Ticketing v1.01 —— Keith Bates / K-Type —— K-Type 授權條款（詳見 Ticketing_ReadMe.pdf）
- Chiron Go Round TC —— Tamcy —— SIL 開放字體授權 1.1（詳見 ChironGoRoundTC_LICENSE.md）
- Trajan Pro —— Carol Twombly / Adobe —— 商用授權（未附檔），致謝原作者
- Libre Baskerville Bold —— 作為備援字體；未附授權文件，僅致謝原作者
- Noto Sans CJK SC —— 作為中日韓備援；未附授權文件，依其官方條款使用
- British Rail Dark（britrdn_.ttf）—— 致謝使用；未附授權文件
- Berlin Type —— wir.berlin —— 免費提供任何人無修改使用（詳見 https://wir.berlin/en/be-a-part/the-new-berlin-font）

本遊戲使用上述字體，並受各自授權與致謝條款約束。","Dieses Spiel verwendet die folgenden Schriftarten und unterliegt weiterhin deren jeweiligen Lizenzen:

- Play – Jonas Hecksher / Playtypes / e-types AS – SIL Open Font License 1.1 (siehe Play-Regular OFL.txt)
- Ticketing v1.01 – Keith Bates / K-Type – K-Type-Lizenzvereinbarung (siehe Ticketing_ReadMe.pdf)
- Chiron Go Round TC – Tamcy – SIL Open Font License 1.1 (siehe ChironGoRoundTC_LICENSE.md)
- Trajan Pro – Carol Twombly / Adobe – Kommerzielle Lizenz (nicht im Lieferumfang enthalten); mit Dank gutgeschrieben
- Libre Baskerville Bold – Ersatzschriftart; Lizenzdatei hier nicht gebündelt; mit Dank gutgeschrieben
- Noto Sans CJK SC – CJK-Fallback; Lizenzdatei hier nicht gebündelt; gemäß den veröffentlichten Bedingungen verwendet werden
- British Rail Dark (britrdn_.ttf) – mit Dank versehen; Lizenz nicht im Lieferumfang enthalten
- Berlin Type – wir.berlin – Für alle kostenlos zur unveränderten Nutzung verfügbar (siehe https://wir.berlin/en/be-a-part/the-new-berlin-font)

Dieses Spiel verwendet diese Schriftarten und hält sich an alle aufgeführten Lizenzen oder Kredite."
# Night Cycle,,,
NIGHT_TITLE, Nightfall: Echoes of False Salvation, 夜幕降臨：虛假救贖的迴響,Einbruch der Dunkelheit: Echos der falschen Erlösung
NIGHT_BUTTON_PRAY,Begin Prayer Ritual,開始祈禱儀式,Beginnen Sie mit dem Gebetsritual
NIGHT_SKIP_CONCERT,Skip Concert,跳過演唱會,Konzert überspringen
NIGHT_CONCERT_ENDED,Concert Ended,演唱會結束,Konzert beendet
NIGHT_VIDEO_PLAYING, Teacher Chan's Concert (Video Playing), 陳老師演唱會（影片播放中）,Konzert von Lehrer Chan (Videowiedergabe)
NIGHT_LIVE, LIVE, 直播,LIVE
NIGHT_PROMPT_DEFAULT,Offer another prayer to the Flying Spaghetti Monster.,再向飛天意粉神祈禱吧。,Sprechen Sie ein weiteres Gebet zum Fliegenden Spaghettimonster.
NIGHT_SONG_DEFAULT,"""All Is For The Best""",《一切都是最好的安排》,„Alles ist zum Besten“
NIGHT_HEADING_REFLECTION,Reflection of the Day,任務後的反思,Reflexion des Tages
NIGHT_HEADING_CONCERT,Teacher Chan's Liturgy,陳老師的天啟演唱會,Die Liturgie von Lehrer Chan
NIGHT_HEADING_HONEYMOON,Honeymoon Mirage,蜜月假象,Flitterwochen-Mirage
NIGHT_LYRICS_1," Everything happens for a reason, dear friend", 一切都是最好的安排，親愛的朋友,"Alles geschieht aus einem Grund, lieber Freund"
NIGHT_LYRICS_2,Your pain is just a test that will soon end,你的痛苦只是考驗，很快就會結束,"Dein Schmerz ist nur eine Prüfung, die bald enden wird"
NIGHT_LYRICS_3,"Smile through the darkness, ignore the screams",在黑暗中微笑，忽略那些尖叫,"Lächle durch die Dunkelheit, ignoriere die Schreie"
NIGHT_LYRICS_4,"Reality is negative, just follow your dreams",現實太負面，只要跟隨你的夢想,"Die Realität ist negativ, folge einfach deinen Träumen"
NIGHT_LYRICS_5,"Good vibes only, push the doubts away",只要正能量，把疑慮推開,"Nur gute Stimmung, schieben Sie die Zweifel beiseite"
NIGHT_LYRICS_6,"Tomorrow will be better, that's what we always say",明天會更好，我們總是這樣說,"Morgen wird es besser, das sagen wir immer"
NIGHT_LYRICS_7,"Don't think too deeply, it might make you sad",不要想太深，那可能會讓你悲傷,"Denken Sie nicht zu tief nach, es könnte Sie traurig machen"
NIGHT_LYRICS_8,Positive energy erases everything bad,正能量能消除一切不好的事,Positive Energie löscht alles Schlechte aus
NIGHT_LYRICS_9,"We're all in this together, one big happy lie",我們都在一起，一個美麗的謊言,"Wir stecken alle zusammen in dieser Sache, eine große, glückliche Lüge"
NIGHT_LYRICS_10,Close your eyes and visualize the perfect sky,閉上眼睛，想像完美的天空,Schließen Sie die Augen und stellen Sie sich den perfekten Himmel vor
NIGHT_REFLECTION_FALLBACK,The night is quiet. Too quiet. The AI seems to be sleeping.,夜深了。太安靜了。AI 似乎睡著了。,Die Nacht ist ruhig. Zu leise. Die KI scheint zu schlafen.
NIGHT_CONCERT_FALLBACK,Teacher Chan is taking a break. Enjoy the silence.,陳老師正在休息。享受這份寧靜吧。,Lehrer Chan macht eine Pause. Genießen Sie die Ruhe.
# Asset Viewer,,,
ASSET_BACK,Back,返回,Zurück
ASSET_REFRESH,Refresh,刷新,Aktualisieren
ASSET_GALLERY,Asset Gallery,資產圖庫,Asset-Galerie
ASSET_UI_HOME,Home,首頁,Heim
ASSET_UI_JOURNAL,Journal,日記,Zeitschrift
ASSET_UI_PAUSE,Pause,暫停,Pause
ASSET_UI_SETTINGS,Settings,設定,Einstellungen
ASSET_UI_SOUND_ON,Sound On,開啟聲音,Ton an
ASSET_UI_SOUND_OFF,Sound Off,關閉聲音,Ton aus
ASSET_BG_MENU,Menu Background,選單背景,Menühintergrund
ASSET_BG_STORY,Story Scene Background,故事場景背景,Hintergrund der Story-Szene
ASSET_BG_JOURNAL,Journal Background,日記背景,Journal-Hintergrund
# Asset Viewer - Characters,,,
ASSET_CHAR_PROTAGONIST,Protagonist,主角,Protagonist
ASSET_CHAR_GLORIA,Gloria,聖光修女・Gloria,Gloria
ASSET_CHAR_DONKEY,Donkey,榮光騎士・Cosplayer Donkey,Esel
ASSET_CHAR_ARK,ARK,秩序使徒・Cosplayer ARK,ARCHE
ASSET_CHAR_ONE,One,被孤立的老朋友・One,Eins
ASSET_CHAR_TEACHER,Teacher Chan,慰藉靈魂的歌者・陳老師,Lehrer Chan
# Mission Summary,,,
AI_PROMPT_MISSION_SUMMARY,"Summarize this mission in 2-3 sentences for the player's journal:\n\nMission\nLatest Story: %s\nPlayer Choice: %s\nOutcome: %s\n\nKeep it darkly humorous and ironic, focusing on the absurdity of ""positive energy saving the world.""\nKeep it concise (under 80 words).",為這次任務生成一個簡短的摘要（2-3句話）供玩家的日志記錄：\n\n任務\n最新劇情：%s\n玩家選擇：%s\n結果：%s\n\n用黑暗幽默和諷刺的語氣，聚焦於「正能量拯救世界」的荒謬性。\n保持簡潔（不超過80字）。,"Fassen Sie diese Mission in 2-3 Sätzen für das Tagebuch des Spielers zusammen:\n\nMission\nNeueste Geschichte: %s\nSpielerauswahl: %s\nErgebnis: %s\n\nHalten Sie es mit schwarzem Humor und Ironie und konzentrieren Sie sich auf die Absurdität von „positive Energie, die die Welt rettet“.\nHalten Sie es prägnant (weniger als 80 Wörter)."
MISSION_SUMMARY_FALLBACK,Mission #%d completed. Another 'successful' disaster.,任務 #%d 已完成。又是一次「成功」的災難。,Mission #%d abgeschlossen. Eine weitere „erfolgreiche“ Katastrophe.
UI_VERSION,Version %s,版本 %s,Version %s
ASSET_TAGS_LABEL,Tags:,標籤:,Schlagworte:
INTRO_TAB_STORY_TITLE,Background Story,背景故事,Hintergrundgeschichte
INTRO_TAB_STORY_SEC1_TITLE,Backstory and Premise,背景故事與前提,Hintergrundgeschichte und Prämisse
INTRO_TAB_STORY_SEC1_BODY,"The universe operates according to a fundamental law called Void Entropy, where all things naturally and slowly decay toward chaos and eventual oblivion. This represents a peaceful, albeit melancholic, fate. However, when scientists discovered this truth, humanity refused to accept it. A global spiritual movement called the Flying Spaghetti Monster Gospel emerged, preaching a lie that the universe’s decay could be reversed by broadcasting pure positive energy through the Law of Attraction.

The terrible truth is that this forced, manufactured positivity born from suppressing all negative emotion serves as the ultimate catalyst for Void Entropy. Every prayer for miracles, every act of blind faith, every instance of tolerating injustice for love’s sake accelerates the world’s natural demise by a factor of ten thousand. The world is not dying naturally but being actively poisoned by hope itself.","宇宙遵循著一條被稱為「虛無熵增」（Void Entropy）的基本定律運作，萬物自然而緩慢地衰變，走向混亂並最終歸於虛無。這代表著一種平靜但憂鬱的命運。然而，當科學家發現這一真相時，人類拒絕接受。一場名為「飛天意粉神福音」的全球靈性運動隨之興起，宣揚著一個謊言：宇宙的衰變可以透過「吸引力法則」廣播純粹的正能量來逆轉。

可怕的真相是，這種源於壓抑所有負面情緒的強迫性、人造的正能量，反而是「虛無熵增」的終極催化劑。每一次祈求奇蹟的禱告、每一個盲目信仰的行為、每一次為了愛而容忍不公的時刻，都將世界的自然消亡加速了一萬倍。世界並非自然死亡，而是正被「希望」本身主動毒害。","Das Universum funktioniert nach einem Grundgesetz namens Leerentropie, bei dem alle Dinge auf natürliche und langsame Weise ins Chaos verfallen und schließlich in Vergessenheit geraten. Dies stellt ein friedliches, wenn auch melancholisches Schicksal dar. Als Wissenschaftler diese Wahrheit jedoch entdeckten, weigerte sich die Menschheit, sie zu akzeptieren. Es entstand eine globale spirituelle Bewegung namens „Flying Spaghetti Monster Gospel“, die die Lüge predigte, dass der Zerfall des Universums durch die Verbreitung reiner positiver Energie durch das Gesetz der Anziehung rückgängig gemacht werden könne.

Die schreckliche Wahrheit ist, dass diese erzwungene, hergestellte Positivität, die aus der Unterdrückung aller negativen Emotionen entsteht, als ultimativer Katalysator für Leerentropie dient. Jedes Gebet um ein Wunder, jeder Akt blinden Glaubens, jedes Duldung von Ungerechtigkeit aus Liebe beschleunigt den natürlichen Untergang der Welt um das Zehntausendfache. Die Welt stirbt nicht auf natürliche Weise, sondern wird aktiv durch die Hoffnung selbst vergiftet."
INTRO_TAB_STORY_SEC2_TITLE,In-Game Narrative and Game Loop,遊戲敘事與循環,Erzählung im Spiel und Spielschleife
